,date,id_punto,value,x,y
10,2023-06-01,150120152,134.338,500259.579,5036407.488
24,2023-06-01,150120153,129.37,500425.5618,5036133.774
25,2023-06-01,150120155,135.215,500186.6,5036741.342
332,2023-06-01,Pz23e,167.011,497578.425,5049159.246
366,2023-06-01,PzCavaLagoCapanna,125.81,501171.005,5033454.333
400,2023-06-01,S1,127.849,502743.537,5035093.446
655,2023-06-01,PO012026NU3021,167.602,486383.0,5048270.0
860,2023-06-01,PO0120500RZ001,199.442,495380.0,5054832.0
1122,2023-06-01,PO0120750R2020,183.106,498243.0,5052530.0
1209,2023-06-01,PO0120790RZ001,199.201,494757.0,5054445.0
1221,2023-06-01,PO0121300R0001,168.36,497907.347,5049448.376
1562,2023-06-01,PO015041NR0075,151.98999999999998,491337.0,5042014.0
1746,2023-06-01,PO015113NUP001,143.625999999999,489297.597667,5039466.985
2284,2023-06-01,PO015146NU1496,130.86,506073.0,5037830.0
2677,2023-06-01,PO015173NR0001,92.52,515805.31,5020958.54
2898,2023-06-01,PO015194NU0017,157.98,492931.0,5045894.0
3309,2023-06-01,PO015247NR0185,108.98,505595.642667,5026876.26633
